SMILES,熔点Tm,玻璃化转变温度Tg ,分解温度Td,密度ρ,生成焓H,爆速Df,爆压PG,撞击感度,摩擦感度,比冲,点火延迟,氧化剂,粘度,参考文献,cation,wrong_smiles
NN1C=C[NH+]=N1.O=[N+](C2=NN=N[N-]2)[O-],98.8,,200.8,1.69,577.1,7948,27,,,,,,,,Nn1cc[nH+]n1,
NN1C=C[N+](C)=N1.[O-][N+]([O-])=O,87,,241.8,1.59,116.4,7596,23.7,,,,,,,,C[n+]1ccn(N)n1,
NN1C=C[N+](C)=N1.O=[N+](C2=NN=N[N-]2)[O-],92.6,,224.3,1.59,574,7509,23.1,,,,,,,,C[n+]1ccn(N)n1,
NN1C=C[N+](C)=N1.O=[N+](/N=C2NN=N[N-]\2)[O-],89.6,,197,1.57,1056.8,7524,23,,,,,,,,C[n+]1ccn(N)n1,
NN1C=C[N+](C)=N1.O=[N+]([C-]([N+]([O-])=O)[N+]([O-])=O)[O-],82.2,,176.5,1.7,234.1,8320,29.7,,,,,,,,C[n+]1ccn(N)n1,
[N-]=[N+]=[N-].C[N+]1=NN(C=N1)N,43,,129,,136,,,,,,,,,,C[n+]1ncn(N)n1,
[N-]=[N+]=[N-].C[N+]1=NN(C=N1)N,50,,156,,149,,,,,,,,,,C[n+]1ncn(N)n1,
[N-]=[N+]=[N-].NN1C=[N+](N=C1)CCO,,-50,129,,93,,,,,,,,,,Nn1cn[n+](CCO)c1,
NN1C=[N+](N=C1)CC=C.[N-]=[N+]=[N-],,-57,109,,161,,,,,,,,,,C=CC[n+]1cn(N)cn1,
NN1N=[N+](C=C1)CC=C.[N-]=[N+]=[N-],,-62,114,,173,,,,,,,,,,C=CC[n+]1ccn(N)n1,
NN1C=[N+](N=C1)CCC.[N-]=[N+]=[N-],,,106,,223,,,,,,,,,,CCC[n+]1cn(N)cn1,
C[N+]1=CN(N)N=C1.N2([BH-](N3C=NC=N3)N4C=NC=N4)C=NC=N2,,-18.6,158.5,1.39,,,,,,,,,,,C[n+]1cnn(N)c1,
C[N+]1=CN(N)N=C1.N2([BH2-]N3C=NC=N3)C=NC=N2,,-35.3,107.4,1.23,,,,,,,,,,,C[n+]1cnn(N)c1,
N[N+]1=CNN=C1.O=[N+](O[La-3](O[N+]([O-])=O)(O[N+]([O-])=O)(O[N+]([O-])=O)(O[N+]([O-])=O)O[N+]([O-])=O)[O-],,,211,1.87,-1425.9,,,,,,,,,,N[n+]1cn[nH]c1,
N[N+]1=CNN=C1.O=[N+](O[Ce-3](O[N+]([O-])=O)(O[N+]([O-])=O)(O[N+]([O-])=O)(O[N+]([O-])=O)O[N+]([O-])=O)[O-],76,,212,1.88,-1415.4,,,,,,,,,,N[n+]1cn[nH]c1,
N[N+]1=CNN=C1.O=[N+](O[La-3](O[N+]([O-])=O)(O[N+]([O-])=O)(O[N+]([O-])=O)(O[N+]([O-])=O)O[N+]([O-])=O)[O-],,-24,231,1.76,-1487.6,,,,,,,,,,N[n+]1cn[nH]c1,
N[N+]1=CN(C)N=C1.O=[N+](O[Ce-3](O[N+]([O-])=O)(O[N+]([O-])=O)(O[N+]([O-])=O)(O[N+]([O-])=O)O[N+]([O-])=O)[O-],,-28,227,1.77,-1477.2,,,,,,,,,,Cn1c[n+](N)cn1,
N[N+]1=CN(C)N=C1.O=[N+](O[La-3](O[N+]([O-])=O)(O[N+]([O-])=O)(O[N+]([O-])=O)(O[N+]([O-])=O)O[N+]([O-])=O)[O-],,-32,232,1.67,-1541.2,,,,,,,,,,Cn1c[n+](N)cn1,
N[N+]1=CN(CC)N=C1.O=[N+](O[Ce-3](O[N+]([O-])=O)(O[N+]([O-])=O)(O[N+]([O-])=O)(O[N+]([O-])=O)O[N+]([O-])=O)[O-],,-33,228,1.67,-1527.4,,,,,,,,,,CCn1c[n+](N)cn1,
N[N+]1=CN(CCCC)N=C1.O=[N+](O[La-3](O[N+]([O-])=O)(O[N+]([O-])=O)(O[N+]([O-])=O)(O[N+]([O-])=O)O[N+]([O-])=O)[O-],,-33,229,1.59,-1595.8,,,,,,,,,,CCCCn1c[n+](N)cn1,
N[N+]1=CN(CCCC)N=C1.O=[N+](O[Ce-3](O[N+]([O-])=O)(O[N+]([O-])=O)(O[N+]([O-])=O)(O[N+]([O-])=O)O[N+]([O-])=O)[O-],,-37,230,1.6,-1595.7,,,,,,,,,,CCCCn1c[n+](N)cn1,
CC1=[N+](C)N=NN1N.[O-][N+]([O-])=O,,-59,170,1.5,129.52,,,,,,,,,10.1021/ic048890x,Cc1n(N)nn[n+]1C,
CC1=[N+](C)N=NN1N.O=Cl(=O)([O-])=O,51,,182,,538.53,,,,,,,,,10.1021/ic048890x,Cc1n(N)nn[n+]1C,
CC1=[N+](C)N=NN1N.O=[N+]([N-][N+]([O-])=O)[O-],85,,150,,,,,,24,,,,,10.1002/chem.200800828,Cc1n(N)nn[n+]1C,
NC1=[NH+]N=NN1.O=[N+]([N-][N+]([O-])=O)[O-],85,,117,1.856,329,9429,38.4,2,20,,,,,10.1039/B811767E,Nc1[nH]nn[nH+]1,
O=[N+]([N-][N+]([O-])=O)[O-].N1=N[NH+]=CN1,70,,110,1.824,367,9215,36.5,2,28,,,,,10.1039/B811767E,c1[nH]nn[nH+]1,
NC1=NN(C)N=[N+]=1.O=[N+]([N-][N+]([O-])=O)[O-],90,,145,1.659,296,8548,29,5,64,,,,,10.1039/B811767E,N.C.1.=.N.N.(.C.).N.=.[.N.+.].=.1...O.=.[.N.+.].(.[.N.-.].[.N.+.].(.[.O.-.].).=.O.).[.O.-.],
CC1=[N+](C)N=NN1C.C2([BH-](C3C=NC=N3)C4C=NC=N4)C=NC=N2,11.8,,81.7,1.24,,,,,,,,,,10.1021/om061113f,Cc1n(C)nn[n+]1C,
NC1=[NH+]N=NN1N.O=[N+](O[La-3](O[N+]([O-])=O)(O[N+]([O-])=O)(O[N+]([O-])=O)(O[N+]([O-])=O)O[N+]([O-])=O)[O-],,,187,2,-1108.1,,,,,,,,,10.1039/B811767E,Nc1[nH+]nnn1N,
NC1=[NH+]N=NN1N.O=[N+](O[Ce-3](O[N+]([O-])=O)(O[N+]([O-])=O)(O[N+]([O-])=O)(O[N+]([O-])=O)O[N+]([O-])=O)[O-],,,188,2.02,-1100.5,,,,,,,,,10.1039/B811767E,Nc1[nH+]nnn1N,
NC1=[N+](C)N=NN1N.O=[N+](O[La-3](O[N+]([O-])=O)(O[N+]([O-])=O)(O[N+]([O-])=O)(O[N+]([O-])=O)O[N+]([O-])=O)[O-],88,,185,2.06,-1226,,,,,,,,,10.1039/B811767E,C[n+]1nnn(N)c1N,
NC1=[N+](C)N=NN1N.O=[N+](O[Ce-3](O[N+]([O-])=O)(O[N+]([O-])=O)(O[N+]([O-])=O)(O[N+]([O-])=O)O[N+]([O-])=O)[O-],90,,187,2.08,-1218.3,,,,,,,,,10.1039/B811767E,C[n+]1nnn(N)c1N,
CN1CCN(C)/C1=[N+](C)\CCCC.[O-][N+]([O-])=O,7,,246,1.23,-490,,,,,,,,,118,CCCC[N+](C)=C1N(C)CCN1C,
CN1CCN(C)/C1=[N+](C)\CCC.[O-][N+]([O-])=O,31,,272,1.22,267,,,,,,,,,,CCC[N+](C)=C1N(C)CCN1C,
CN1CCN(C)/C1=[N+](C)\CCCC.O=Cl(=O)([O-])=O,28,,303,1.32,-1,,,,,,,,,,CCCC[N+](C)=C1N(C)CCN1C,
CN1CCN(C)/C1=[N+](C)\CCC.O=Cl(=O)([O-])=O,39,,325,1.34,42,,,,,,,,,,CCC[N+](C)=C1N(C)CCN1C,
CN1CCN(C)/C1=[N+]([H])\CCC.[O-][N+]([O-])=O,,<-78,128,1.24,-1481,,,,,,,,,,CCC[NH+]=C1N(C)CCN1C,
CN1CCN(C)/C1=[N+]([H])\C.[O-][N+]([O-])=O,3,,130,1.34,-1914,,,,,,,,,,C[NH+]=C1N(C)CCN1C,
CN1CCN(C)/C1=[N+]([H])\CCC.O=Cl(=O)([O-])=O,6,,271,1.32,225,,,,,,,,,,CCC[NH+]=C1N(C)CCN1C,
[O-][N+]([O-])=O.CN1CCCN(C)/C1=[N+](CCCC)/C,6,,292,1.31,-1395,,,,,,,,,,CCCC[N+](C)=C1N(C)CCCN1C,
[O-][N+]([O-])=O.CN1CCCN(C)/C1=[N+](CCC)/C,57,,308,1.21,-245,,,,,,,,,,CCC[N+](C)=C1N(C)CCCN1C,
O=Cl(=O)([O-])=O.CN1CCCN(C)/C1=[N+](CCCC)/C,78,,276,1.29,284,,,,,,,,,,CCCC[N+](C)=C1N(C)CCCN1C,
CN1CCCN(C)/C1=[N+](CCC)/[H].[O-][N+]([O-])=O,,<-78,127,1.24,-2018,,,,,,,,,,CCC[NH+]=C1N(C)CCCN1C,
O=Cl(=O)([O-])=O.CN1CCCN(C)/C1=[N+](CCC)/[H],,-70,265,1.35,120,,,,,,,,,,CCC[NH+]=C1N(C)CCCN1C,
CN1COCN(C)/C1=[N+](CCC)/[H].[O-][N+]([O-])=O,65,,238,1.26,704,,,,,,,,,,CCC[NH+]=C1N(C)COCN1C,
O=Cl(=O)([O-])=O.CN1COCN(C)/C1=[N+](CCC)/[H],94,,244,1.37,-70,,,,,,,,,,CCC[NH+]=C1N(C)COCN1C,
CN1N=CN(C)/C1=[N+](C)\CCCC.[O-][N+]([O-])=O,,-69,211,1.26,85,,,,,,,,,,CCCC/[N+](C)=c1\n(C)cnn1C,
CN1N=CN(C)/C1=[N+](C)\C.[O-][N+]([O-])=O,74,,229,1.36,-80,,,,,,,,,,Cn1cnn(C)c1=[N+](C)C,
CN1N=CN(C)/C1=[N+](C)\CCCC.O=Cl(=O)([O-])=O,,-59,284,1.37,181,,,,,,,,,,CCCC/[N+](C)=c1\n(C)cnn1C,
CN(C)/C(N(C)C)=[N+](C)/CCCC.[O-][N+]([O-])=O,72,,314,1.17,-209,,,,,,,,,118,CCCC[N+](C)=C(N(C)C)N(C)C,
[O-][N+]([O-])=O.C[N+](C)(N)CC#N,59,,204,1.543,31,7907,22.8,>40,>360,,,,,10.1002/asia.201100994,C[N+](C)(N)CC#N,
O=Cl(=O)([O-])=O.C[N+](C)(N)CC#N,47,,219,1.666,94,7940,25.5,<35,<300,,,,,10.1002/asia.201100994,C[N+](C)(N)CC#N,
C[N+](N)(C)CC#N.[N-]=[N+]=[N-],41,,175,1.421,370,7410,18.4,>40,<320,,,,,10.1002/asia.201100994,C[N+](C)(N)CC#N,
C[N+](C)(N)CC#N.NC1=NN=N[N-]1,,<0,169,1.551,370,7615,20.2,>40,>360,,,,,10.1002/asia.201100994,C[N+](C)(N)CC#N,
C[N+](C)(N)CCl.[O-][N+]([O-])=O,-9.7,,161,1.474,87,7395,19,>40,>360,,,,,?10.1039/C2RA00968D,C[N+](C)(N)CCl,
C[N+](C)(N)CCl.O=Cl(=O)([O-])=O,52,,180,1.694,316,8160,27.9,>40,>360,,,,,?10.1039/C2RA00968D,C[N+](C)(N)CCl,
C[N+](C)(N)CCl.[N-]=[N+]=[N-],17.2,,147,1.418,343,7120,18.7,>40,>360,,,,,?10.1039/C2RA00968D,C[N+](C)(N)CCl,
C[N+](C)(N)CCl.N#C[N-]C#N,,,188,1.308,349,6518,14.5,>40,>360,,,,,?10.1039/C2RA00968D,C[N+](C)(N)CCl,
C[N+](C)(N)CCl.C1(N=NC2=NN=N[N-]2)=NN=N[N-]1,,,172,1.521,1077,7926,24,>40,>360,,,,,?10.1039/C2RA00968D,C[N+](C)(N)CCl,
C[N+](C)(N)CCl.[O-]C1=C([N+]([O-])=O)C=C([N+]([O-])=O)C=C1[N+]([O-])=O,77,,208,1.644,57,7278,20.3,>40,>360,,,,,?10.1039/C2RA00968D,C[N+](C)(N)CCl,
C[N+](C)(N)CCl.NC1=NN=N[N-]1,64,,165,1.521,426,7250,18.9,>40,>360,,,,,?10.1039/C2RA00968D,C[N+](C)(N)CCl,
C[N+](C)(N)C.[O-][N+]([O-])=O,,<0,258,1.437,-96,7905,21.8,>50,>360,,,,,10.1002/asia.201200437,C[N+](C)(C)N,
C[N+](C)(N)C.O=Cl(=O)([O-])=O,,<0,322,1.589,-39,7912,24.6,<40,>360,,,,,10.1002/asia.201200437,C[N+](C)(C)N,
C[N+](C)(N)C.NC1=NN=N[N-]1,,<0,250,1.439,247,7468,18.1,>50,>360,,,,,10.1002/asia.201200437,C[N+](C)(C)N,
C[N+](N)(C)C.O=[N+]([N-][N+]([O-])=O)[O-],,<0,155,1.497,-73,7947,22.8,<12,<30,,,,,10.1002/asia.201200437,C[N+](C)(C)N,
C[N+](C)(N)C.O=[N+](C1=NN=N[N-]1)[O-],,<0,175,1.479,212,7595,20.1,<2,<48,,,,,10.1002/asia.201200437,C[N+](C)(C)N,
C[N+](C)(N)C.O=[N+]([C-]([N+]([O-])=O)[N+]([O-])=O)[O-],,<0,137,1.603,-96,8176,26,<10,<20,,,,,10.1002/asia.201200437,C[N+](C)(C)N,
[O-][N+]([O-])=O.CN(/N=N/[N+](C)=C\N)C,,,164,1.449,74,7598,20.08,>30,>300,,,,,124,CN(C)/N=N/[N+](C)=C\N,
O=Cl(=O)([O-])=O.CN(/N=N/[N+](C)=C\N)C,,,195,1.543,125,7651,22.24,>15,>150,,,,,,CN(C)/N=N/[N+](C)=C\N,
CN(/N=N/[N+](C)=C\N)C.C1(/N=N/C2=NN=N[N-]2)=NN=N[N-]1,,,163,1.5,604,7258,16.93,>25,>360,,,,,,CN(C)/N=N/[N+](C)=C\N,
CN(C)/N=N/[N+](C)=C\N.[N-]=[N+]=[N-],,,189,1.373,572,7577,19.11,>30,>200,,,,,,CN(C)/N=N/[N+](C)=C\N,
CN1C=C[N+](CC=C)=C1.N#C[N-]C#N,,-85,207,,,,,,,,43,,,,C=CC[n+]1ccn(C)c1,
CN1C=C[N+](CCC=C)=C1.N#C[N-]C#N,,-90,210,,,,,,,,,,,,C=CCC[n+]1ccn(C)c1,
CN1C=C[N+](CC#C)=C1.N#C[N-]C#N,17,-61,144,,,,,,,,15,,,,C#CC[n+]1ccn(C)c1,
CN1C=C[N+](CCC#C)=C1.N#C[N-]C#N,,49,179,,,,,,,,,,,,C#CCC[n+]1ccn(C)c1,
CN1C=C[N+](CCCC#C)=C1.N#C[N-]C#N,,59,184,,,,,,,,,,,,C#CCCC[n+]1ccn(C)c1,
NN1C=N[N+](C)=C1.N#C[N-]C#N,,-66,143,,,,,,,,31,,,,C[n+]1cn(N)cn1,
CC[N+]1=CN(C)C=C1.CN(C#N)[N+]([O-])=O,,-73,253,1.18,157.7,,,,,,78,,,,CC[n+]1ccn(C)c1,
CN1C=C[N+](CCCC)=C1.CN(C#N)[N+]([O-])=O,,-90,256,1.13,128.5,,,,,,81,,,,CCCC[n+]1ccn(C)c1,
CN1C=C[N+](CC=C)=C1.CN(C#N)[N+]([O-])=O,,-91,220,1.11,274.7,,,,,,46,,,,C=CC[n+]1ccn(C)c1,
CN1C=C[N+](CCCOC)=C1.CN(C#N)[N+]([O-])=O,,-82,266,1.21,44.3,,,,,,65,,,,COCCC[n+]1ccn(C)c1,
CN1C=C[N+](CC#N)=C1.CN(C#N)[N+]([O-])=O,,83,203,1.47,368.9,,,,,,,,,,Cn1cc[n+](CC#N)c1,
CN(C#N)[N+]([O-])=O.NC(NN)=[NH2+],,91,223,1.53,138.2,,,,,,,,,,NNC(N)=[NH2+],
CN(C#N)[N+]([O-])=O.[NH2+]=C(NN)NN,,74,209,1.59,322.8,,,,,,,,,,NNC(=[NH2+])NN,
CN(C#N)[N+]([O-])=O.C[N+]1=C(N)N(N)N=N1,19,-47,188,1.58,409.2,,,,,,,,,,C[n+]1nnn(N)c1N,
C[N+](C)(C)CCN=[N+]=[N-].CN(C#N)[N+]([O-])=O,,,245,1.24,380,,,,,,8,,,,C[N+](C)(C)CCN=[N+]=[N-],
C[N+](C)(CCN=[N+]=[N-])C.N#C[N-]C#N,,,235,1.15,518,,,,,,20,,,,C[N+](C)(C)CCN=[N+]=[N-],
C[N+](C)(CCN=[N+]=[N-])CCN=[N+]=[N-].CN(C#N)[N+]([O-])=O,,,222,1.32,752,,,,,,226,,,,C[N+](C)(CCN=[N+]=[N-])CCN=[N+]=[N-],
C[N+](C)(CCN=[N+]=[N-])CCN=[N+]=[N-].N#C[N-]C#N,,,222,1.21,894,,,,,,16,,,,C[N+](C)(CCN=[N+]=[N-])CCN=[N+]=[N-],
C[N+](C)(C)CCN=[N+]=[N-].CN([N+]([O-])=O)[N+]([O-])=O,,,219,1.36,251,,,,,,,,,,C[N+](C)(C)CCN=[N+]=[N-],
C[N+](C)(C)CCN=[N+]=[N-].[N-]=[N+]=[N-],,,139,1.22,578,,,,,,,,,,C[N+](C)(C)CCN=[N+]=[N-],
CC[NH+](CC)CC.C[N+](C)(C)CCN=[N+]=[N-].[N-]=[N+]=[N-],,,,1.01,457,,,,,,,,,,CC[NH+](CC)CC.C[N+](C)(C)CCN=[N+]=[N-],
CC(C)[NH+](C)C.[N-]=[N+]=[N-],,,,0.99,430,,,,,,,,,,CC(C)[NH+](C)C,
C/[N+](C)=C(\C(N(C)C)=[N+](C)\C)N(C)C.[N-]=[N+]=[N-].[N-]=[N+]=[N-],,,188,1.24,418,,,,,,,,,,CN(C)C(C(N(C)C)=[N+](C)C)=[N+](C)C,
CN(C#N)[N+]([O-])=O.N[N+](N)(C)C,,-0.19,145.7,1.26,668,,,,,,16,,,,C[N+](C)(N)N,
N[N+](N)(C)C.N#C[N-]C#N,,10.7,134.2,1.15,804,,,,,,22,,,,C[N+](C)(N)N,
N[N+](N)(C)C.CC([N+]([O-])=O)(C#N)[N+]([O-])=O,,,134.2,1.48,578,,,,,,,,,,C[N+](C)(N)N,
N[N+](N)(C)C.CC(C#N)(C#N)[N+]([O-])=O,,47.8,142.5,1.35,737,,,,,,,,,,C[N+](C)(N)N,
N[N+](N)(C)C.CC(C#N)(C#N)C#N,,74.4,153.3,1.2,905,,,,,,,,,,C[N+](C)(N)N,
N[N+](N)(C)C.[O-][N+]([O-])=O,,99,145.6,1.47,344,,,,,,,,,,C[N+](C)(N)N,
C[N+](N)(C)C.N#C[N-]C#N,,60.5,253.5,1.1,258.34,,,,,,58,,,,C[N+](C)(C)N,
C[N+](N)(CC)C.N#C[N-]C#N,,30.9,267.1,1.06,243.66,,,,,,22,,,,CC[N+](C)(C)N,
C[N+](N)(CCCCC)C.N#C[N-]C#N,,20.4,263.3,1.01,232.73,,,,,,46,,,,CCCCC[N+](C)(C)N,
C[N+](N)(CC=C)C.N#C[N-]C#N,,,199.2,1.05,453.14,,,,,,24,,,,C=CC[N+](C)(C)N,
C[N+](N)(CC#C)C.N#C[N-]C#N,,,174.3,1.13,411.22,,,,,,30,,,,C#CC[N+](C)(C)N,
C[N+](N)(CCO)C.N#C[N-]C#N,,,236,1.15,109.57,,,,,,40,,,,C[N+](C)(N)CCO,
C[N+](N)(CC#N)C.N#C[N-]C#N,,,144.8,1.17,470.29,,,,,,1286,,,,C[N+](C)(N)CC#N,
N[N+](C)(C)C.O=[N+]([N-]C#N)[O-],,35.2,292.4,1.24,119.26,,,,,,126,,,,C[N+](C)(C)N,
N[N+](C)(CC)C.CN(C#N)[N+]([O-])=O,,25.4,296.9,1.17,105.11,,,,,,198,,,,CC[N+](C)(C)N,
[NH3+][N+](CCCCC)(C)C.O=[N+]([N-]C#N)[O-],,9,285.5,1.11,93.49,,,,,,228,,,,CCCCC[N+](C)(C)[NH3+],
[NH3+][N+](CC=C)(C)C.O=[N+]([N-]C#N)[O-],,,208.2,1.16,314.5,,,,,,130,,,,C=CC[N+](C)(C)[NH3+],
N[N+](C)(CC#C)C.O=[N+]([N-]C#N)[O-],,,189.3,1.21,318.56,,,,,,134,,,,C#CC[N+](C)(C)N,
C[N+](N)(CCO)C.O=[N+]([N-]C#N)[O-],,,269.1,1.26,-28.68,,,,,,247,,,,C[N+](C)(N)CCO,
N[N+](C)(CCO)C.O=[N+]([N-]C#N)[O-],,,193.5,1.28,333.24,,,,,,1642,,,,C[N+](C)(N)CCO,
CN1C=C[N+](CCCC)=C1.N#C[BH2-]C#N,,<-80,307,0.96,,,,,,,28,,,,CCCC[n+]1ccn(C)c1,
C[N+](N)(CCCC)C.N#C[BH2-]C#N,,<-80,222,0.91,,,,,,,6,,,,CCCC[N+](C)(C)N,
C[N+](N)(CC=C)C.N#C[BH2-]C#N,,<-80,189,0.93,,,,,,,4,,,,C=CC[N+](C)(C)N,
CN1C=C[N+](CC=C)=C1.N#C[BH2-]C#N,,<-80,266,0.99,,,,,,,8,,,,C=CC[n+]1ccn(C)c1,
CCCC[N+]1=CC=CC=C1.N#C[BH2-]C#N,,<-80,252,0.96,,,,,,,18,,,,CCCC[n+]1ccccc1,
C=CC[N+]1=CC=CC=C1.N#C[BH2-]C#N,,<-80,203,1,,,,,,,6,,,,C=CC[n+]1ccccc1,
C[N+]1(CCCC)CCCC1.N#C[BH2-]C#N,,<-80,303,0.92,,,,,,,26,,,,CCCC[N+]1(C)CCCC1,
C[N+]1(CC=C)CCCC1.N#C[BH2-]C#N,,<-80,259,0.94,,,,,,,8,,,,C=CC[N+]1(C)CCCC1,
CN1N=C[N+](CCCC)=C1.N#C[BH2-]C#N,,<-80,220,0.99,,,,,,,32,,,,CCCC[n+]1cnn(C)c1,
CN1N=C[N+](CC=C)=C1.N#C[BH2-]C#N,,<-80,217,1.03,,,,,,,6,,,,C=CC[n+]1cnn(C)c1,
CN1N=C[N+](CC=C)=C1.[BH4-],,<-60,93.3,0.9,117.8,,,,,,2,,,,C=CC[n+]1cnn(C)c1,
CN1N=C[N+](CCCC)=C1.[BH4-],,<-60,99.9,0.91,38.9,,,,,,38,,,,CCCC[n+]1cnn(C)c1,
C[N+](CC=C)(N)C.[BH3-]C#N,,-80,181,0.93,154.9,,,,,,42,,,,C=CC[N+](C)(C)N,
C[N+](CC)(N)C.[BH3-]C#N,,-17,205,0.92,40.2,,,,,,103,,,,CC[N+](C)(C)N,
C[N+](CCCC)(N)C.[BH3-]C#N,,-80,201,0.89,20.4,,,,,,54,,,,CCCC[N+](C)(C)N,
C[N+](CC#N)(N)C.[BH3-]C#N,,41,127,0.94,282.2,,,,,,,,,,C[N+](C)(N)CC#N,
C[N+](CCl)(N)C.[BH3-]C#N,,46,134,1.15,58.4,,,,,,,,,,C[N+](C)(N)CCl,
[BH3-]C#N.C=CN1C=[N+]([B-]([H])([H])[N+]2=CN(C=C)C=C2)C=C1,,-37,174,0.89,573.2,,,,,,41,,,,C=Cn1cc[n+]([BH2-][n+]2ccn(C=C)c2)c1,
[BH3-]C#N.[H][B-]([N+]1=CN(CC=C)C=C1)([H])[N+]2=CN(CC=C)C=C2,,-59,190,0.88,244.8,,,,,,23,,,,C=CCn1cc[n+]([BH2-][n+]2ccn(CC=C)c2)c1,
[BH3-]C#N.C=CC[N+]1=CN(C)C=C1,,-80,242,0.96,336.6,,,,,,8,,,,C=CC[n+]1ccn(C)c1,
[BH3-]C#N.CC[N+]1=CN(C)C=C1,,-71,247,0.98,218.6,,,,,,4,,,,CC[n+]1ccn(C)c1,
[BH3-]C#N.CN1C=C[N+](CCCC)=C1,,-80,267,0.97,190.7,,,,,,24,,,,CCCC[n+]1ccn(C)c1,
[O-][N+]([O-])=O.CN1C=[N+]([B-]([H])([H])[N+]2=CN(C)C=C2)C=C1,,90,217,1.28,-164.6,,,,,,,,,,Cn1cc[n+]([BH2-][n+]2ccn(C)c2)c1,
[O-][N+]([O-])=O.[H][B-]([N+]1=CN(CC=C)C=C1)([H])[N+]2=CN(CC=C)C=C2,,<-80,198,1.15,273.7,,,,,,64,,,,C=CCn1cc[n+]([BH2-][n+]2ccn(CC=C)c2)c1,
N#C[N-]C#N.CN1C=[N+]([B-]([H])([H])[N+]2=CN(C)C=C2)C=C1,,30,196,1.12,134.5,,,,,,26,,,,Cn1cc[n+]([BH2-][n+]2ccn(C)c2)c1,
[H][B-]([N+]1=CN(CC=C)C=C1)([H])[N+]2=CN(CC=C)C=C2.N#C[N-]C#N,,<-80,190,1.09,88.9,,,,,,18,,,,C=CCn1cc[n+]([BH2-][n+]2ccn(CC=C)c2)c1,
CN1C=[N+]([B-]([H])([H])[N+]2=CN(C)C=C2)C=C1.CC(C#N)[N+]([O-])=O,,<-80,227,1.2,1.6,,,,,,34,,,,Cn1cc[n+]([BH2-][n+]2ccn(C)c2)c1,
