SMILES,熔点Tm,玻璃化转变温度Tg ,分解温度Td,密度ρ,生成焓H,爆速Df,爆压PG,撞击感度,摩擦感度,比冲,点火延迟,氧化剂,粘度,参考文献,cation,wrong_smiles
CCN(CC)[C+]1C(N(CC)CC)C1N(CC)CC.N#C[BH2-]C2=CNC=N2,-28,,194,,193.3,,,,,301.9,,,,,CCN(CC)[C+]1C(N(CC)CC)C1N(CC)CC,
CN(CCC)[C+]1C(N(C)CC=C)C1N(C)CCC.N#C[BH2-]C2=CNC=N2,-24,,155,,608.9,,,,,301.2,,,,,C=CCN(C)C1[C+](N(C)CCC)C1N(C)CCC,
N#C[N-]C#N.CCCC[N+]1(CC#C)CCC1,<-80,,114,,330.4,,,,,184.5,,,,,C#CC[N+]1(CCCC)CCC1,
C[N+](CCN=[N+]=[N-])(CC)CC.N#C[N-]C#N,<-70,,200.5,,310,,,,,262.6,,,,,CC[N+](C)(CC)CCN=[N+]=[N-],
C[N+](C)(C)CCCN=[N+]=[N-].N#C[N-]C#N,<-70,,204.2,,258.8,,,,,261.1,,,,,C[N+](C)(C)CCCN=[N+]=[N-],
N#C[N-]C#N.C[N+]1(CCN=[N+]=[N-])CCCC1,<-70,,205,,307.3,,,,,260.8,,,,,C[N+]1(CCN=[N+]=[N-])CCCC1,
N#C[N-]C#N.C[N+]1(CCCCC1)CCN=[N+]=[N-],<-70,,209,,285.2,,,,,261,,,,,C[N+]1(CCN=[N+]=[N-])CCCCC1,
N#C[N-]C#N.C[N+]1(CCOCC1)CCN=[N+]=[N-],<-70,,205.7,,198.4,,,,,260,,,,,C[N+]1(CCN=[N+]=[N-])CCOCC1,
CC[N+]1=CN(C)C=C1.[O-][P+](OC)([BH3-])OC,-49,,210,,,,,,,243.2,,,,,CC[n+]1ccn(C)c1,
CN1C=[N+](CCCC)C=C1.[O-][P+](OC)([BH3-])OC,-47,,215,,,,,,,245.6,,,,,CCCC[n+]1ccn(C)c1,
C[N+]1(CC)CCCC1.[O-][P+](OC)([BH3-])OC,-49,,224,,,,,,,246,,,,,CC[N+]1(C)CCCC1,
C[N+]1(CCC)CCCC1.[O-][P+](OC)([BH3-])OC,-48,,226,,,,,,,247.5,,,,,CCC[N+]1(C)CCCC1,
C[N+]1(CCCC)CCCC1.[O-][P+](OC)([BH3-])OC,-45,,231,,,,,,,246.9,,,,,CCCC[N+]1(C)CCCC1,
CC[N+](CC)(CC)CC.[O-][P+](OC)([BH3-])OC,-47,,235,,,,,,,248.4,,,,,CC[N+](CC)(CC)CC,
CC[N+]1=CN(C)C=C1.[O-][P+](OCC)([BH3-])OCC,-17,,215,,,,,,,247.9,,,,,CC[n+]1ccn(C)c1,
CN1C=[N+](CCCC)C=C1.[O-][P+](OCC)([BH3-])OCC,-13,,213,,,,,,,249.2,,,,,CCCC[n+]1ccn(C)c1,
C[N+]1(CC)CCCC1.[O-][P+](OCC)([BH3-])OCC,-17,,232,,,,,,,248.8,,,,,CC[N+]1(C)CCCC1,
C[N+]1(CCC)CCCC1.[O-][P+](OCC)([BH3-])OCC,-16,,236,,,,,,,249.8,,,,,CCC[N+]1(C)CCCC1,
CCCC[N+]1CCCC1.[O-][P+](OCC)([BH3-])OCC,-15,,228,,,,,,,249,,,,,CCCC[N+]1CCCC1,
CC[N+](CC)(CC)CC.[O-][P+](OCC)([BH3-])OCC,-18,,230,,,,,,,250,,,,,CC[N+](CC)(CC)CC,
[H][B-](N1C=NN=N1)([H])N2N=NN=C2.CN3C=[N+](C)C=C3,21,,223,,565.2,,,,,264,,,,,Cn1cc[n+](C)c1,
[H][B-](N1C=NN=N1)([H])N2N=NN=C2.CN3C=[N+](CC)C=C3,<-70,,226,,578,,,,,264,,,,,CC[n+]1ccn(C)c1,
[H][B-](N1C=NN=N1)([H])N2N=NN=C2.CN3C=[N+](CC=C)C=C3,<-70,,222,,702.5,,,,,265,,,,,C=CC[n+]1ccn(C)c1,
[H][B-](N1C=NN=N1)([H])N2N=NN=C2.C[N+]3=CN(CC=C)C=C3,<-70,,225,,720.6,,,,,264,,,,,C=CCn1cc[n+](C)c1,
C[N+]1(CC=C)CCCC1.[H][B-](N2C=NN=N2)([H])N3N=NN=C3,<-70,,219,,506.1,,,,,263,,,,,C=CC[N+]1(C)CCCC1,
[H][B-](N1C=NN=N1)([H])N2N=NN=C2.CC[N+]3=CC=CC=C3,23,,170,,576.8,,,,,263,,,,,CC[n+]1ccccc1,
[H][B-](N1C=NN=N1)([H])N2N=NN=C2.C=CC[N+]3=CC=CC=C3,<-70,,149,,692.4,,,,,264,,,,,C=CC[n+]1ccccc1,
[H][B-]([N+]1=CN(CC)C=C1)([H])[N+]2=CN(CC)C=C2.[H][B-](N3N=CN=C3)([H])N4N=CN=C4,-51.1,,250.5,,158.3,,,,,260.3,,,,,CCn1cc[n+]([BH2-][n+]2ccn(CC)c2)c1,
[H][B-]([N+]1=CN(CC=C)C=C1)([H])[N+]2=CN(CC=C)C=C2.[H][B-](N3N=CN=C3)([H])N4N=CN=C4,-56.2,,205.4,,390.2,,,,,261.7,,,,,C=CCn1cc[n+]([BH2-][n+]2ccn(CC=C)c2)c1,
[H][B-](N1N=NN=C1)(C#N)[H].CN2C=[N+](CC)C=C2,<-70,,233,,256.7,,,,,184,,,,,CC[n+]1ccn(C)c1,
[H][B-](N1N=NN=C1)(C#N)[H].CN2C=[N+](CCC)C=C2,<-70,,231,,197.4,,,,,177,,,,,CCC[n+]1ccn(C)c1,
[H][B-](N1N=NN=C1)(C#N)[H].CN2C=[N+](CC=C)C=C2,<-70,,228,,427.6,,,,,195,,,,,C=CC[n+]1ccn(C)c1,
[H][B-](N1N=NN=C1)(C#N)[H].CC[N+]2(C)CCCC2,-8,,193,,118.8,,,,,179,,,,,CC[N+]1(C)CCCC1,
[H][B-](N1N=NN=C1)(C#N)[H].CCC[N+]2(C)CCCC2,-13,,200,,67,,,,,173,,,,,CCC[N+]1(C)CCCC1,
[H][B-](N1N=NN=C1)(C#N)[H].CC[N+]2=CC=CC=C2,<-70,,175,,299.2,,,,,183,,,,,CC[n+]1ccccc1,
[H][B-](N1N=NN=C1)(C#N)[H].CCC[N+]2=CC=CC=C2,<-70,,180,,280.4,,,,,180,,,,,CCC[n+]1ccccc1,
[H][B-](N1N=NN=C1)(C#N)[H].C=CC[N+]2=CC=CC=C2,<-70,,165,,417.7,,,,,189,,,,,C=CC[n+]1ccccc1,
N#C[N-]C#N.CC[N+]1=CN(C)C=C1,-18,,284,1.105,274,,,,,247,,,,,CC[n+]1ccn(C)c1,
N#C[N-]C#N.CN1C=[N+](CCCC)C=C1,-6,,283,1.061,244,,,,,244.2,,,,,CCCC[n+]1ccn(C)c1,
N#C[N-]C#N.CN1C=[N+](CCCCCC)C=C1,,<-80,283,1.025,221,,,,,242.7,,,,,CCCCCC[n+]1ccn(C)c1,
N#C[N-]C#N.CN1C=[N+](CCCCCCCC)C=C1,-5,,286,1.006,193,,,,,241.3,,,,,CCCCCCCC[n+]1ccn(C)c1,
N#C[N-]C#N.CN1C=[N+](CC=C)C=C1,,<-80,277,1.117,382,,,,,250.3,,,,,C=CC[n+]1ccn(C)c1,
N#C[N-]C#N.CN1C=[N+](C=C)C=C1,26,,249,1.145,406,,,,,253.1,,,,,C=C[n+]1ccn(C)c1,
N#C[N-]C#N.C=CN1C=[N+](CC=C)C=C1,2,,233,1.23,485,,,,,253.2,,,,,C=CC[n+]1ccn(C=C)c1,
N#C[N-]C#N.CN1C=[N+](CCCC#C)C=C1,,<-80,274,1.127,440,,,,,250.5,,,,,C#CCCC[n+]1ccn(C)c1,
N#C[N-]C#N.CN1C=[N+](CCO)C=C1,,-60,240,1.189,129,,,,,250.5,,,,,Cn1cc[n+](CCO)c1,
[H][B-]([H])([N+]1=CN(C=C1)C)[N+]2=CN(C=C2)C.[H][B-]([H])(N3N=CN=C3)N4N=CN=C4,,-44.9,256.8,1.16,410.8,,,,,259.8,399,,1.72,,Cn1cc[n+]([BH2-][n+]2ccn(C)c2)c1,
[H][B-]([H])([N+]1=CN(C=C1)CC)[N+]2=CN(C=C2)CC.[H][B-]([H])(N3N=CN=C3)N4N=CN=C4,,-51.1,250.6,1.12,400,,,,,260.3,26,,0.801,,CCn1cc[n+]([BH2-][n+]2ccn(CC)c2)c1,
[H][B-]([H])([N+]1=CN(C=C1)CCC)[N+]2=CN(C=C2)CCC.[H][B-]([H])(N3N=CN=C3)N4N=CN=C4,,-52.1,258.6,1.1,391,,,,,260.9,111,,1.282,,CCCn1cc[n+]([BH2-][n+]2ccn(CCC)c2)c1,
[H][B-]([H])([N+]1=CN(C=C1)CCCC)[N+]2=CN(C=C2)CCCC.[H][B-]([H])(N3N=CN=C3)N4N=CN=C4,,-57.6,248.4,1.07,381.7,,,,,261.3,190,,1.038,,CCCCn1cc[n+]([BH2-][n+]2ccn(CCCC)c2)c1,
[H][B-]([H])([N+]1=CN(C=C1)CC=C)[N+]2=CN(C=C2)CC=C.[H][B-]([H])(N3N=CN=C3)N4N=CN=C4,,-56.2,205.4,1.12,393.3,,,,,261.7,20,,0.453,,C=CCn1cc[n+]([BH2-][n+]2ccn(CC=C)c2)c1,
[H][B-]([H])([N+]1=CN(C=C1)C)[N+]2=CN(C=C2)C.[H][B-](N3C=NC=N3)(N4N=CN=C4)N5C=NC=N5,,-28.8,240.6,1.22,397.8,,,,,257.5,,,28.413,,Cn1cc[n+]([BH2-][n+]2ccn(C)c2)c1,
[H][B-]([H])([N+]1=CN(C=C1)CC)[N+]2=CN(C=C2)CC.[H][B-](N3C=NC=N3)(N4N=CN=C4)N5C=NC=N5,,-37.8,245.1,1.18,388.4,,,,,258.3,,,6.054,,CCn1cc[n+]([BH2-][n+]2ccn(CC)c2)c1,
[H][B-]([H])([N+]1=CN(C=C1)CCC)[N+]2=CN(C=C2)CCC.[H][B-](N3C=NC=N3)(N4N=CN=C4)N5C=NC=N5,,-47.1,248.7,1.13,378.4,,,,,259,,,4.129,,CCCn1cc[n+]([BH2-][n+]2ccn(CCC)c2)c1,
[H][B-]([H])([N+]1=CN(C=C1)CCCC)[N+]2=CN(C=C2)CCCC.[H][B-](N3C=NC=N3)(N4N=CN=C4)N5C=NC=N5,,-42.2,239,1.12,372.6,,,,,261.6,,,3.876,,CCCCn1cc[n+]([BH2-][n+]2ccn(CCCC)c2)c1,
[H][B-]([H])([N+]1=CN(C=C1)CC=C)[N+]2=CN(C=C2)CC=C.[H][B-](N3C=NC=N3)(N4N=CN=C4)N5C=NC=N5,,-44.2,225.4,1.17,382.5,,,,,259.7,,,2.269,,C=CCn1cc[n+]([BH2-][n+]2ccn(CC=C)c2)c1,
C[N+]12CCC(CC2)CC1.N#C[N-]C#N,35.3,,317.8,1.16,154.4,,,,,262.3,34,,,,C[N+]12CCC(CC1)CC2,
CC[N+]12CCC(CC2)CC1.N#C[N-]C#N,2.7,,322,1.09,136.9,,,,,262,63,,,,CC[N+]12CCC(CC1)CC2,
CCC[N+]12CCC(CC2)CC1.N#C[N-]C#N,76,,320.7,1.14,123.7,,,,,261.6,29,,,,CCC[N+]12CCC(CC1)CC2,
CCCC[N+]12CCC(CC2)CC1.N#C[N-]C#N,22.7,,318,1.06,116.9,,,,,261.3,100,,,,CCCC[N+]12CCC(CC1)CC2,
C=CC[N+]12CCC(CC2)CC1.N#C[N-]C#N,16.5,,303,1.1,254.9,,,,,263.1,49,,,,C=CC[N+]12CCC(CC1)CC2,
C#CC[N+]12CCC(CC2)CC1.N#C[N-]C#N,64.8,,236,1.19,431.1,,,,,265.2,14,,,,C#CC[N+]12CCC(CC1)CC2,
N#CC[N+]12CCC(CC2)CC1.N#C[N-]C#N,99,,230.7,1.27,356.7,,,,,263.2,-,,,,N#CC[N+]12CCC(CC1)CC2,
OCC[N+]12CCC(CC2)CC1.N#C[N-]C#N,19.7,,275.5,1.16,7.8,,,,,262,186,,,,OCC[N+]12CCC(CC1)CC2,
C[N+]12CCN(CC2)CC1.N#C[N-]C#N,50.8,,281.3,1.2,265.8,,,,,263.8,39,,,,C[N+]12CCN(CC1)CC2,
CC[N+]12CCN(CC2)CC1.N#C[N-]C#N,37,,280.8,1.17,240.6,,,,,264.1,82,,,,CC[N+]12CCN(CC1)CC2,
CCC[N+]12CCN(CC2)CC1.N#C[N-]C#N,55.3,,276.8,1.17,232.3,,,,,264.2,106,,,,CCC[N+]12CCN(CC1)CC2,
CCCC[N+]12CCN(CC2)CC1.N#C[N-]C#N,2,,275.2,1.1,223.2,,,,,264,120,,,,CCCC[N+]12CCN(CC1)CC2,
C=CC[N+]12CCN(CC2)CC1.N#C[N-]C#N,-80.8,,264.3,1.14,366.3,,,,,265.1,67,,,,C=CC[N+]12CCN(CC1)CC2,
C#CC[N+]12CCN(CC2)CC1.N#C[N-]C#N,105.8,,208.2,1.25,537.5,,,,,266.2,20,,,,C#CC[N+]12CCN(CC1)CC2,
N#CC[N+]12CCN(CC2)CC1.N#C[N-]C#N,127.8,,207.5,1.31,469,,,,,261.7,-,,,,N#CC[N+]12CCN(CC1)CC2,
OCC[N+]12CCN(CC2)CC1.N#C[N-]C#N,-71.8,,260.2,1.22,113.9,,,,,260.5,1053,,,,OCC[N+]12CCN(CC1)CC2,
[H][B-](N1C=NN=N1)([H])N2N=NN=C2.CN3C=[N+](C)C=C3,21,,223,1.28,565.2,,,,,264,,,57,,Cn1cc[n+](C)c1,
[H][B-](N1C=NN=N1)([H])N2N=NN=C2.CN3C=[N+](CC)C=C3,<-70,,226,1.24,578,,,,,264,,,40,,CC[n+]1ccn(C)c1,
[H][B-]([H])(N1N=NN=C1)N2C=NN=N2.CN3C=[N+](C=C3)CCC,<-70,,219,1.24,1.651,,,,,261,,,88,,CCC[n+]1ccn(C)c1,
[H][B-](N1C=NN=N1)([H])N2N=NN=C2.CN3C=[N+](CC=C)C=C3,<-70,,222,1.25,702.5,,,,,265,,,31,,C=CC[n+]1ccn(C)c1,
[H][B-](N1C=NN=N1)([H])N2N=NN=C2.C[N+]3=CN(CC=C)C=C3,<-70,,225,1.21,720.6,,,,,264,,,35,,C=CCn1cc[n+](C)c1,
C[N+]1(CCCC1)C.[H][B-]([H])(N2N=NN=C2)N3C=NN=N3,<-70,,230,1.2,1.167,,,,,264,,,89,,C[N+]1(C)CCCC1,
C[N+]1(CC=C)CCCC1.[H][B-](N2C=NN=N2)([H])N3N=NN=C3,<-70,,219,1.22,506.1,,,,,263,,,26,,C=CC[N+]1(C)CCCC1,
[H][B-](N1C=NN=N1)([H])N2N=NN=C2.CC[N+]3=CC=CC=C3,23,,170,1.26,576.8,,,,,263,,,30,,CC[n+]1ccccc1,
[H][B-]([H])(N1N=NN=C1)N2C=NN=N2.CCC[N+]3=CC=CC=C3,<-70,,166,1.25,2,,,,,261,,,69,,CCC[n+]1ccccc1,
[H][B-](N1C=NN=N1)([H])N2N=NN=C2.C=CC[N+]3=CC=CC=C3,<-70,,149,1.28,692.4,,,,,264,,,25,,C=CC[n+]1ccccc1,
[H][B-](N1N=NN=C1)(C#N)[H].CN2C=[N+](CC)C=C2,<-70,,233,1.12,256.7,,,,,,184,,,,CC[n+]1ccn(C)c1,
[H][B-](C#N)([H])N1N=NN=C1.CN2C=[N+](C=C2)CCCC,<-70,,231,1.1,197.4,,,,,,177,,,,CCCC[n+]1ccn(C)c1,
[H][B-](N1N=NN=C1)(C#N)[H].CN2C=[N+](CC=C)C=C2,<-70,,228,1.15,427.6,,,,,,195,,,,C=CC[n+]1ccn(C)c1,
[H][B-](N1N=NN=C1)(C#N)[H].CC[N+]2(C)CCCC2,-8,,193,1.09,118.8,,,,,,179,,,,CC[N+]1(C)CCCC1,
[H][B-](C#N)([H])N1N=NN=C1.C[N+]2(CCCC2)CCCC,-47/-13,,200,1.08,67,,,,,,173,,,,CCCC[N+]1(C)CCCC1,
[H][B-](N1N=NN=C1)(C#N)[H].CC[N+]2=CC=CC=C2,<-70,,175,1.17,299.2,,,,,,183,,,,CC[n+]1ccccc1,
[H][B-](C#N)([H])N1N=NN=C1.CCCC[N+]2=CC=CC=C2,<-70,,180,1.13,280.4,,,,,,180,,,,CCCC[n+]1ccccc1,
[H][B-](N1N=NN=C1)(C#N)[H].C=CC[N+]2=CC=CC=C2,<-70,,165,1.17,417.7,,,,,,189,,,,C=CC[n+]1ccccc1,
N#C[N-]C#N.N[C+](N)[H].N#N,58,,218,1.365,146,,,,,2460,,,,,N[CH+]N,
N#C[N-]C#N.N[C+]([H])NN.N#N,52,,170,1.383,224,,,,,2556,,,,,N[CH+]NN,
N#C[N-]C#N.N[C+](NN)NN,63,,175,1.402,327,,,,,2652,,,,,NN[C+](N)NN,
N#C[N-]C#N.NN[C+](NN)NN,123,,175,1.415,423,,,,,2723,,,,,NN[C+](NN)NN,
[C-]#[N+][N-][N+]#[C-].O=[N+](OCC[N+]1=CC=CC=C1)[O-],60,,186.6,1.39,237,,,,,233.8,,,,,O=[N+]([O-])OCC[n+]1ccccc1,
[C-]#[N+][N-][N+]#[C-].CN1C=C[N+](CCO[N+]([O-])=O)=C1,-50.2,,186.8,1.3,169,,,,,226.5,,,,,Cn1cc[n+](CCO[N+](=O)[O-])c1,
[C-]#[N+][N-][N+]#[C-].C[N+]1(CCO[N+]([O-])=O)CCCC1,-49.9,,194.1,1.22,68.3,,,,,243.1,,,,,C[N+]1(CCO[N+](=O)[O-])CCCC1,
[C-]#[N+][N-][N+]#[C-].C[N+](C)(C)CCO[N+]([O-])=O,-50.1,,200.9,1.22,50.1,,,,,234.1,,,,,C[N+](C)(C)CCO[N+](=O)[O-],
[C-]#[N+][N-][N+]#[C-].OCC[N+]1=CC=CC=C1,-48.9,,248.2,1.21,115.9,,,,,252.6,,,,,OCC[n+]1ccccc1,
[C-]#[N+][N-][N+]#[C-].OCC[N+]1=CN(C)C=C1,-50,,260.8,1.19,64.4,,,,,246.7,,,,,Cn1cc[n+](CCO)c1,
[C-]#[N+][N-][N+]#[C-].C[N+]1(CCO)CCCC1,-49.8,,269.1,1.13,-54.7,,,,,260.4,,,,,C[N+]1(CCO)CCCC1,
[C-]#[N+][N-][N+]#[C-].OCC[N+](C)(C)C,-49.9,,280.8,1.09,-60.2,,,,,256.5,,,,,C[N+](C)(C)CCO,
[C-]#[N+][N-][N+]#[C-].CC[N+]1=CC=CC=C1,-46.1,,267.8,1.12,264.3,,,,,259.9,,,,,CC[n+]1ccccc1,
[C-]#[N+][N-][N+]#[C-].CC[N+]1=CN(C)C=C1,-50.7,,316.3,1.11,215.7,,,,,256.9,,,,,CC[n+]1ccn(C)c1,
[C-]#[N+][N-][N+]#[C-].C[N+]1(CC)CCCC1,-50.2,,308.6,1.05,89.7,,,,,262.1,,,,,CC[N+]1(C)CCCC1,
[C-]#[N+][N-][N+]#[C-].CCC[N+](C)(C)C,96.3,,306.2,1.05,53.2,,,,,262.5,,,,,CCC[N+](C)(C)C,
CC[N+]1=CN(C)C=C1.[O-][P+](OC)([BH3-])OC,-49,,210,,,,,,,243.2,2.3,,,,CC[n+]1ccn(C)c1,
CN1C=[N+](CCCC)C=C1.[O-][P+](OC)([BH3-])OC,-47,,215,,,,,,,245.6,4.5,,,,CCCC[n+]1ccn(C)c1,
C[N+]1(CC)CCCC1.[O-][P+](OC)([BH3-])OC,-49,,224,,,,,,,246,8.2,,,,CC[N+]1(C)CCCC1,
C[N+]1(CCC)CCCC1.[O-][P+](OC)([BH3-])OC,-48,,226,,,,,,,247.5,9.5,,,,CCC[N+]1(C)CCCC1,
C[N+]1(CCCC)CCCC1.[O-][P+](OC)([BH3-])OC,-45,,231,,,,,,,246.9,4.8,,,,CCCC[N+]1(C)CCCC1,
CC[N+](CC)(CC)CC.[O-][P+](OC)([BH3-])OC,-47,,235,,,,,,,248.4,7,,,,CC[N+](CC)(CC)CC,
CC[N+]1=CN(C)C=C1.[O-][P+](OCC)([BH3-])OCC,-17,,215,,,,,,,247.9,5.8,,,,CC[n+]1ccn(C)c1,
CN1C=[N+](CCCC)C=C1.[O-][P+](OCC)([BH3-])OCC,-13,,213,,,,,,,249.2,8.8,,,,CCCC[n+]1ccn(C)c1,
C[N+]1(CC)CCCC1.[O-][P+](OCC)([BH3-])OCC,-17,,232,,,,,,,248.8,6.2,,,,CC[N+]1(C)CCCC1,
C[N+]1(CCC)CCCC1.[O-][P+](OCC)([BH3-])OCC,-16,,236,,,,,,,249.8,9.7,,,,CCC[N+]1(C)CCCC1,
CCCC[N+]1CCCC1.[O-][P+](OCC)([BH3-])OCC,-15,,228,,,,,,,249,5.8,,,,CCCC[N+]1CCCC1,
CC[N+](CC)(CC)CC.[O-][P+](OCC)([BH3-])OCC,-18,,230,,,,,,,250,6.3,,,,CC[N+](CC)(CC)CC,
CN1C=C[N+](CCO[N+]([O-])=O)=C1.O=[N+](C2=NC([N+]([O-])=O)=N[N-]2)[O-],55,-21,169,1.55,43.88,,,,,,,,,,Cn1cc[n+](CCO[N+](=O)[O-])c1,
CN1C=C[N+](CCO[N+]([O-])=O)=C1.[O-]C2=C([N+]([O-])=O)C=C([N+]([O-])=O)C=C2[N+]([O-])=O,81,-58,198,1.59,-5.63,,,,,,,,,,Cn1cc[n+](CCO[N+](=O)[O-])c1,
CN1C=C[N+](CCO[N+]([O-])=O)=C1.O=C2[N-]N=C([N+]([O-])=O)N2,,-12,139,1.53,140.99,,,,,,,,,,Cn1cc[n+](CCO[N+](=O)[O-])c1,
CN1C=C[N+](CCO[N+]([O-])=O)=C1.O=[N+]([CH-][N+]([O-])=O)[O-],,-51,138,1.52,-153.84,,,,,,,,,,Cn1cc[n+](CCO[N+](=O)[O-])c1,
CN1C=C[N+](CCO[N+]([O-])=O)=C1.O=[N+]([N-][N+]([O-])=O)[O-],,-64,171,1.54,-96.09,,,,,,,,,,Cn1cc[n+](CCO[N+](=O)[O-])c1,
CN1C=C[N+](CCO[N+]([O-])=O)=C1.O=[N+](C2=NN=N[N-]2)[O-],45,-36,185,1.52,185.43,,,,,,,,,,Cn1cc[n+](CCO[N+](=O)[O-])c1,
[N-]=[N+]=NCC[N+](CC)(C)CC.[O-][N+]([O-])=O,,26.8,204.1,1.2,113.03,,,,,268.3,-,,-,,CC[N+](C)(CC)CCN=[N+]=[N-],
[N-]=[N+]=NCC[N+](CC)(C)CC.N#C[N-]C#N,,<-70,200.5,1.11,309.96,,,,,262.6,15,,59.2,,CC[N+](C)(CC)CCN=[N+]=[N-],
[N-]=[N+]=NCC[N+](CC)(C)CC.N#C[N-][N+]([O-])=O,,<-70,211.2,1.19,406.66,,,,,267.8,95,,93.4,,CC[N+](C)(CC)CCN=[N+]=[N-],
C[N+](CCCN=[N+]=[N-])(C)C.[O-][N+]([O-])=O,,<-70,206.5,1.22,59.49,,,,,267.4,-,,279.9,,C[N+](C)(C)CCCN=[N+]=[N-],
C[N+](CCCN=[N+]=[N-])(C)C.N#C[N-]C#N,,3.5,204.2,1.11,258.79,,,,,261.1,12,,42.8,,C[N+](C)(C)CCCN=[N+]=[N-],
C[N+](CCCN=[N+]=[N-])(C)C.N#C[N-][N+]([O-])=O,,<-70,210.5,1.2,355.19,,,,,267,65,,71.8,,C[N+](C)(C)CCCN=[N+]=[N-],
C[N+]1(CCN=[N+]=[N-])CCCC1.[O-][N+]([O-])=O,,<-70,206.2,1.25,110.54,,,,,266.4,-,,334.1,,C[N+]1(CCN=[N+]=[N-])CCCC1,
C[N+]1(CCN=[N+]=[N-])CCCC1.N#C[N-]C#N,,<-70,205,1.16,307.31,,,,,260.8,7,,30.9,,C[N+]1(CCN=[N+]=[N-])CCCC1,
C[N+]1(CCN=[N+]=[N-])CCCC1.N#C[N-][N+]([O-])=O,,<-70,210.2,1.23,405.38,,,,,266.1,201,,62.1,,C[N+]1(CCN=[N+]=[N-])CCCC1,
C[N+]1(CCN=[N+]=[N-])CCCCC1.[O-][N+]([O-])=O,,<-70,208.2,1.21,91.52,,,,,266,-,,518.4,,C[N+]1(CCN=[N+]=[N-])CCCCC1,
C[N+]1(CCN=[N+]=[N-])CCCCC1.N#C[N-]C#N,,<-70,209,1.15,285.17,,,,,261,25,,84.5,,C[N+]1(CCN=[N+]=[N-])CCCCC1,
C[N+]1(CCN=[N+]=[N-])CCCCC1.N#C[N-][N+]([O-])=O,,<-70,210.5,1.2,383.46,,,,,265.8,75,,93.1,,C[N+]1(CCN=[N+]=[N-])CCCCC1,
C[N+]1(CCN=[N+]=[N-])CCOCC1.[O-][N+]([O-])=O,,95.8,207,1.31,2.25,,,,,265.5,-,,-,,C[N+]1(CCN=[N+]=[N-])CCOCC1,
C[N+]1(CCN=[N+]=[N-])CCOCC1.N#C[N-]C#N,,<-70,205.7,1.22,198.39,,,,,260,17,,310.8,,C[N+]1(CCN=[N+]=[N-])CCOCC1,
C[N+]1(CCN=[N+]=[N-])CCOCC1.N#C[N-][N+]([O-])=O,,<-70,210.9,1.3,295.24,,,,,265.3,80,,404.6,,C[N+]1(CCN=[N+]=[N-])CCOCC1,
